intervalo,estimativa,resposavel,subtarefas,atrasado
7,0,120,0,1
7,0,15,0,0
0,0,138,0,0
20,2,134,0,0
6,0,15,0,1
34,8,120,0,1
20,5,120,0,1
3,0,10,0,0
14,0,125,0,0
2,0,118,2,0
2,0,118,0,0
2,0,10,0,0
0,0,138,0,0
0,0,138,0,0
1,0,10,0,0
1,0,127,0,1
0,0,138,0,0
11,8,128,0,1
11,2,10,0,0
11,5,118,5,1
11,16,10,0,0
25,16,0,0,1
25,8,0,0,1
25,0,0,0,1
0,0,134,0,1
13,5,15,0,0
13,8,15,0,1
13,16,116,0,0
13,8,15,1,1
13,16,15,2,1
27,5,116,0,1
13,5,116,0,1
13,5,134,0,1
0,0,138,0,0
0,0,138,0,0
12,0,120,0,1
12,0,120,0,0
12,0,15,0,0
12,0,15,0,0
9,0,10,0,0
12,0,15,0,0
0,0,138,0,1
0,0,138,0,1
8,0,128,0,0
8,0,128,0,0
7,0,0,0,0
7,0,10,0,0
0,0,138,0,0
4,0,10,0,0
0,0,138,0,0
0,0,138,0,0
6,0,15,0,0
20,2,120,0,1
6,0,120,0,1
20,0,0,0,0
2,0,10,0,0
0,0,138,0,1
4,0,116,0,1
0,0,138,0,1
0,0,138,0,1
3,0,15,2,0
3,0,134,0,1
11,5,128,0,1
0,0,138,0,0
0,0,138,0,0
9,8,10,0,0
23,0,17,0,0
9,5,10,0,0
9,5,10,0,0
9,5,128,0,1
9,8,128,0,1
9,8,128,0,1
9,8,127,3,1
9,8,118,0,1
9,8,118,0,1
9,16,118,6,1
12,2,15,0,0
12,5,120,0,0
12,16,120,0,1
12,5,134,2,1
12,5,116,0,0
12,2,134,0,0
12,5,116,0,0
12,5,120,0,1
12,2,116,0,0
12,2,134,0,0
12,0,136,0,1
0,0,138,0,1
0,0,138,0,1
11,0,134,0,1
8,0,10,0,0
10,0,116,0,0
7,0,15,0,0
3,0,10,0,0
6,0,134,0,0
0,0,138,0,1
2,0,128,0,0
0,0,138,0,0
4,0,116,0,1
11,5,127,0,1
11,3,127,0,1
11,5,127,0,1
11,3,127,0,1
11,8,128,0,0
11,5,128,0,0
11,5,128,0,0
0,0,0,0,1
0,0,0,0,1
0,16,0,0,1
0,0,0,0,1
10,0,169,0,0
3,0,159,0,1
9,0,169,0,1
0,8,0,0,1
0,0,0,0,1
0,0,134,0,1
16,0,140,0,0
1,0,138,0,1
0,0,138,0,1
16,0,138,0,1
28,0,138,0,1
2,0,138,0,1
74,0,138,0,1
9,0,140,0,0
14,0,138,0,0
8,0,138,0,0
17,0,140,0,0
3,0,140,0,0
22,0,138,0,0
25,0,138,0,1
11,5,77,0,0
18,0,0,0,0
11,0,140,0,1
28,0,140,0,0
0,0,0,0,1
0,0,0,0,1
3,0,140,0,0
10,0,140,0,0
17,0,140,0,0
4,2,108,0,0
11,3,159,0,1
4,5,108,0,0
11,3,159,0,1
11,5,159,0,1
11,5,159,0,1
4,2,108,0,0
