intervalo,estimativa,Minutos,atrasado
2,0,34,0
12,16,1011,1
11,5,300,0
11,2,120,1
17,32,2505,1
11,16,832,0
27,16,330,0
11,8,540,1
9,0,835,1
0,0,60,0
16,5,60,0
12,8,150,0
0,16,758,1
11,16,526,1
2,0,1110,1
4,0,300,0
15,24,4520,1
4,0,45,0
4,0,14,0
2,16,394,0
7,0,465,1
0,0,51,1
11,3,150,0
8,0,15,0
10,0,15,0
1,0,84,1
0,0,580,1
9,8,480,1
11,8,474,0
14,5,305,0
4,0,237,1
11,3,60,0
9,0,75,0
0,0,60,1
11,2,60,0
24,5,459,1
2,0,300,0
8,0,30,0
15,2,114,0
14,3,210,1
4,0,565,1
14,0,40,0
11,2,120,1
-3,0,190,1
10,8,931,0
11,24,1704,1
16,3,300,0
28,8,670,1
11,8,354,1
4,0,65,0
18,16,1355,1
0,0,294,1
18,5,195,1
11,8,566,1
3,2,59,1
11,8,465,1
3,5,300,1
8,0,30,0
11,0,844,1
11,3,160,0
2,0,224,0
1,0,34,1
9,2,30,0
10,8,704,1
3,0,40,0
11,2,40,0
0,0,520,0
11,5,30,1
3,0,99,1
12,0,244,0
0,5,90,1
11,3,300,1
35,8,1429,1
12,0,4149,1
7,0,72,1
0,0,93,1
11,5,420,1
8,0,120,0
19,0,180,1
11,16,856,1
20,0,1344,1
6,0,30,0
0,0,1025,1
1,0,5,1
0,0,1065,1
0,0,1734,1
11,0,255,0
7,0,90,0
53,3,924,0
13,5,317,1
8,0,90,0
22,0,60,0
32,16,540,1
10,0,470,0
25,8,1710,1
10,0,45,0
1,0,25,1
0,0,60,1
1,0,460,1
16,5,510,0
7,0,30,0
8,0,41,1
7,0,60,0
3,0,20,0
23,5,95,1
1,0,60,0
2,0,886,1
10,8,300,1
24,3,180,1
23,0,480,1
4,0,90,0
11,5,300,1
8,0,11,0
1,0,44,1
11,3,270,1
14,2,90,0
10,0,16,0
1,0,80,1
11,5,150,1
25,5,228,0
10,0,60,1
23,0,180,1
7,0,285,1
9,0,175,0
2,0,10,0
11,3,180,1
11,8,519,0
2,0,160,1
11,5,360,0
10,0,15,0
11,5,360,0
1,0,60,1
0,0,229,1
4,0,60,1
9,0,30,0
11,2,160,1
6,0,69,0
1,0,240,1
8,0,60,0
10,0,30,0
12,0,99,0
14,5,300,1
11,5,190,0
11,8,586,1
10,16,754,0
0,0,323,1
14,8,180,1
14,3,40,1
11,5,120,0
25,16,927,1
0,0,20,1
3,0,377,1
13,0,547,0
11,8,480,1
7,0,60,1
13,0,3825,1
7,0,80,0
25,16,709,0
11,3,393,1
11,5,914,1
2,0,360,1
11,2,49,1
15,2,60,0
11,3,180,0
0,0,60,1
17,2,694,1
21,0,554,0
2,0,41,0
11,8,668,1
3,0,69,0
0,0,769,1
4,0,375,1
9,0,414,0
11,3,323,1
3,0,84,0
13,16,1117,1
11,2,570,1
11,3,96,0
8,0,15,0
0,0,240,1
0,0,848,1
7,0,30,0
2,0,105,1
14,3,180,0
11,2,119,0
15,0,330,0
7,0,113,0
8,5,540,1
10,0,100,0
2,0,49,0
23,16,2010,1
11,5,210,1
7,0,360,1
0,0,65,0
10,0,96,1
4,0,69,0
4,0,75,0
11,16,945,1
19,16,315,1
3,0,131,0
0,0,669,1
0,0,90,1
3,0,630,1
1,0,240,1
15,8,60,0
7,0,229,0
25,0,1536,1
10,0,828,0
11,5,702,1
11,8,679,1
11,5,180,0
30,0,930,1
14,5,180,0
95,5,1035,1
11,5,320,1
5,0,335,0
11,16,670,0
11,1,90,1
11,16,1097,1
14,5,99,0
4,0,150,0
9,0,199,0
4,0,240,1
46,24,1423,1
10,8,105,0
2,0,264,1
11,3,186,1
11,8,509,1
11,8,735,1
14,2,75,0
11,3,180,0
11,3,443,1
8,0,20,0
8,0,80,0
11,16,600,1
8,0,79,0
14,2,15,0
8,0,114,0
12,0,37,0
11,2,120,0
11,8,379,1
1,0,30,0
8,0,49,0
-3,3,199,1
3,0,99,0
11,0,925,0
8,0,160,0
3,0,90,0
10,0,170,0
1,0,405,0
10,0,139,0
11,5,479,1
2,0,344,0
8,0,60,0
