intervalo,estimativa,Minutos,atrasado
12,0,3814,1
3,0,10,1
4,0,49,1
18,2,120,1
17,0,1695,0
2,0,60,0
1,0,195,0
10,0,970,1
15,2,20,0
10,0,799,0
25,16,299,1
2,0,20,1
0,0,12,1
11,2,120,1
10,0,920,1
12,5,404,1
4,0,40,0
8,0,220,1
7,0,1065,1
10,0,12,0
10,16,2044,1
8,0,34,0
11,5,330,0
9,0,24,0
9,0,45,0
4,0,30,0
11,3,60,0
9,0,165,0
11,0,30,0
7,0,30,0
5,0,90,0
9,5,424,1
11,5,150,0
9,0,20,0
1,0,15,1
7,0,90,0
11,5,145,1
10,8,1110,1
14,5,109,0
8,0,381,1
1,0,30,0
11,5,120,1
18,16,931,0
11,16,645,1
0,0,210,0
11,3,180,0
25,24,2185,1
28,0,300,0
4,0,30,0
7,0,30,0
11,0,135,0
3,0,1130,1
3,0,30,0
12,0,30,0
0,0,154,1
0,0,184,1
4,0,15,1
11,5,383,1
12,2,120,0
9,0,206,1
9,0,190,0
0,0,702,1
1,0,240,1
0,0,122,1
18,8,527,1
11,5,300,1
11,5,300,1
1,0,30,0
14,5,300,1
11,3,120,1
9,0,369,0
11,3,180,0
4,16,1590,1
11,8,450,1
0,16,636,1
10,3,130,0
11,8,480,0
10,24,1175,1
11,0,1779,1
11,3,375,1
11,16,1283,1
7,0,20,1
3,0,434,0
7,0,145,0
2,0,360,1
11,2,120,0
0,0,600,1
26,0,239,1
10,0,548,0
11,16,540,1
11,8,414,1
7,0,57,1
1,0,369,1
11,3,199,1
3,0,214,1
11,3,207,0
18,5,229,1
14,3,139,0
3,0,30,0
14,0,240,1
3,0,158,0
23,16,720,1
11,3,20,0
0,2,89,1
1,0,5,0
11,5,61,0
0,0,485,1
16,2,180,0
22,2,30,0
9,0,162,0
13,8,480,0
10,0,360,0
3,0,520,1
13,8,150,1
4,0,240,1
3,0,10,0
1,0,1251,1
11,3,180,1
10,0,110,0
0,0,186,1
14,0,496,0
0,8,100,1
0,0,749,0
11,3,120,0
11,8,722,1
1,0,10,1
3,0,298,1
12,0,45,0
23,0,459,1
7,0,240,1
24,0,270,1
10,0,20,0
15,3,49,0
2,0,20,1
9,0,406,1
1,0,450,1
18,4,210,1
16,2,120,1
0,0,243,1
11,16,640,1
0,16,909,1
11,16,1020,1
0,0,7229,1
4,3,240,1
9,0,85,0
11,2,137,1
12,0,300,0
11,3,180,1
0,16,635,1
11,3,103,0
0,0,55,1
7,0,360,1
9,0,23,0
12,5,135,0
0,0,510,1
15,0,580,0
0,0,240,1
15,2,34,0
42,8,975,0
36,0,153,1
11,5,1449,1
11,3,150,1
4,16,912,1
11,0,700,1
11,16,1389,1
25,16,777,1
8,0,30,0
25,2,77,1
0,0,634,1
11,16,1335,0
25,16,350,1
18,3,180,1
1,0,120,1
0,16,1755,1
8,0,10,0
41,0,480,1
10,8,960,1
9,8,745,1
11,3,161,1
10,0,1290,1
11,0,160,0
11,8,479,1
4,0,271,1
7,0,69,0
53,8,1279,1
11,0,150,0
3,0,69,1
0,16,60,1
7,0,365,0
24,0,720,0
11,16,869,1
9,0,15,0
11,2,120,0
11,0,1003,1
8,0,77,0
11,0,30,0
4,0,110,0
15,16,720,1
10,0,30,0
11,16,732,1
11,8,30,0
25,2,60,0
9,0,90,0
15,3,150,1
11,8,485,1
10,5,165,0
25,0,1275,1
9,0,264,0
4,0,580,1
11,3,315,1
11,2,49,1
24,20,1411,0
17,8,879,1
23,0,270,0
0,16,1148,1
2,2,120,1
0,16,804,1
8,0,20,0
11,0,2470,1
11,5,493,1
9,0,40,0
2,0,535,1
2,0,20,0
10,0,330,0
0,0,202,1
0,0,80,1
11,16,915,1
10,2,9,0
11,16,1010,1
4,0,42,1
11,0,209,0
0,8,780,1
11,0,75,0
10,4,180,1
8,0,90,1
3,0,60,0
11,16,1185,1
11,3,180,0
9,0,190,0
17,2,120,0
11,5,240,1
1,0,180,1
0,0,60,1
0,0,118,1
11,0,240,0
10,16,450,1
7,0,30,0
2,0,518,1
11,3,497,0
10,0,25,0
12,2,55,0
24,8,621,1
0,0,699,1
9,0,133,0
8,0,425,0
11,0,60,0
11,16,754,1
10,0,30,0
11,5,240,1
9,0,10,0
11,3,124,0
3,0,540,0
31,0,750,1
0,8,360,1
12,0,20,0
0,0,940,1
11,8,1911,1
13,2,241,0
8,0,90,0
7,0,276,0
2,0,154,1
11,3,174,1
11,8,324,0
11,3,180,1
8,0,80,0
3,0,30,0
8,0,30,0
1,0,154,1
13,5,120,1
9,0,769,1
4,0,15,0
3,0,235,0
10,0,40,0
9,0,180,1
0,16,440,1
11,0,150,0
9,3,55,0
10,16,2025,1
1,0,110,0
11,5,282,0
11,8,375,1
