intervalo,estimativa,resposavel,subtarefas,atrasado
11,2,109,0,0
11,2,108,0,0
10,0,98,0,1
10,16,109,0,0
9,0,118,0,1
11,24,10,0,1
4,0,120,0,0
17,8,0,0,1
3,0,10,0,0
17,2,120,0,1
17,5,120,0,1
17,2,120,0,1
31,8,10,0,1
17,2,120,0,1
16,2,120,0,1
0,0,10,0,0
14,2,120,0,1
14,2,0,0,0
14,2,120,0,1
28,2,120,0,1
14,2,120,0,1
11,16,10,4,1
11,5,120,0,1
11,0,10,0,0
67,4,21,0,0
17,16,0,0,0
17,16,0,0,0
135,0,111,0,0
1,0,10,0,1
1,0,10,0,1
15,2,120,0,0
1,0,10,0,1
39,8,108,0,1
25,5,108,0,1
11,8,10,2,1
25,8,108,0,1
11,8,120,0,1
11,0,120,0,0
10,0,10,0,0
10,0,120,0,0
10,0,108,0,0
10,0,120,0,0
10,0,120,0,0
10,0,120,0,0
10,0,108,0,0
10,0,108,0,0
4,0,108,0,0
4,0,108,0,0
4,0,120,0,0
4,0,108,0,0
4,0,108,0,0
3,0,120,0,0
3,0,108,0,0
3,0,120,0,1
3,0,118,0,0
2,0,120,0,1
1,0,98,0,1
11,2,10,0,0
11,16,10,0,0
25,16,0,0,1
25,8,0,0,1
11,8,120,0,1
11,8,120,0,1
10,0,10,0,0
9,0,120,0,1
8,0,120,0,0
35,8,15,0,1
0,0,124,0,0
0,0,124,0,0
0,0,124,0,0
32,8,15,0,1
4,0,10,0,1
4,0,10,0,1
2,0,4,0,0
4,0,10,0,0
4,0,10,0,1
4,0,10,0,1
4,0,10,0,1
4,0,10,0,1
17,3,10,0,0
17,5,10,0,0
3,0,10,0,1
3,0,10,0,1
2,0,10,0,1
2,0,124,0,0
2,0,124,0,0
2,0,124,0,0
5,0,4,0,1
11,2,120,0,1
11,2,10,0,0
11,2,10,0,0
11,2,10,0,0
11,3,10,0,0
11,2,120,0,0
11,2,10,0,0
11,2,118,0,0
10,0,10,0,0
10,0,10,0,0
8,0,10,0,0
8,0,10,0,0
22,24,10,0,1
7,0,15,0,1
4,0,10,0,0
4,0,98,0,1
3,0,98,0,1
30,0,98,0,0
3,5,120,0,1
3,5,120,0,1
3,5,120,0,1
3,0,10,0,0
2,0,4,0,1
2,8,120,6,1
1,0,15,4,1
29,16,0,0,1
29,8,0,0,0
15,0,17,0,1
11,5,10,0,1
11,3,15,3,1
11,2,118,2,1
25,8,15,0,1
11,2,10,0,1
11,2,10,0,1
11,0,0,0,1
53,0,0,0,1
11,8,15,0,1
11,8,118,10,1
11,2,120,0,1
11,8,120,0,1
11,16,118,13,1
1,0,125,0,0
9,0,10,0,0
5,0,125,0,0
8,0,120,0,0
8,0,118,0,0
8,0,118,0,0
4,0,120,0,1
16,3,118,4,0
28,16,0,0,1
28,8,0,0,1
11,0,17,0,0
11,5,120,1,1
11,3,118,2,1
11,8,118,8,1
11,2,120,0,0
11,5,15,0,1
9,5,15,0,1
2,0,4,0,1
7,8,15,0,1
7,16,118,14,1
7,3,120,0,1
7,16,15,0,1
3,0,10,0,0
2,0,120,0,1
15,3,118,5,1
0,0,120,0,1
0,0,10,0,1
0,0,10,0,1
0,0,120,0,1
5,0,4,0,0
5,0,4,0,1
25,16,0,0,1
25,8,0,0,1
11,3,15,0,0
11,3,15,0,1
11,3,15,0,0
11,0,17,0,1
11,5,120,0,1
11,8,120,0,1
11,5,15,0,1
11,5,15,0,1
11,8,15,0,1
11,8,120,0,1
11,8,10,0,1
11,3,10,2,1
81,2,10,0,1
11,3,10,0,1
0,0,10,0,0
1,0,98,0,0
13,0,112,0,1
14,0,83,0,0
15,0,10,0,0
8,8,118,5,1
2,0,120,0,0
2,0,10,0,0
-271,0,120,0,1
1,0,10,0,1
15,2,10,0,1
0,0,10,0,0
11,3,10,0,0
11,0,10,0,0
11,0,120,0,0
11,0,118,0,0
11,2,120,0,0
11,3,10,0,1
11,3,0,0,0
8,0,10,2,1
8,0,10,0,1
7,0,120,0,1
18,8,118,1,1
2,0,108,0,1
1,0,120,0,1
15,3,120,0,1
15,5,10,0,1
11,24,120,0,1
11,0,10,0,0
11,0,108,0,0
11,0,120,0,0
11,3,10,0,0
11,3,10,0,1
11,0,118,7,1
11,2,10,0,0
52,0,0,0,1
52,0,0,0,1
8,0,83,0,1
9,0,10,0,0
9,0,10,0,0
9,0,10,0,0
9,0,10,0,0
7,0,10,0,0
4,0,108,0,1
4,0,108,0,1
4,0,21,0,0
18,5,10,0,1
17,3,21,0,0
15,3,21,0,0
11,24,118,6,1
11,3,10,0,0
11,16,108,0,1
11,16,108,0,1
11,8,108,0,1
25,16,108,0,1
23,2,118,0,0
16,2,10,0,1
16,16,0,0,0
79,1,116,0,1
2,0,10,0,1
0,0,10,0,0
11,3,108,0,0
11,16,120,0,1
9,0,108,0,0
9,0,108,0,0
9,0,118,0,0
9,0,118,0,0
9,0,108,0,0
9,0,120,0,1
9,0,120,0,0
9,0,120,0,0
13,0,10,0,1
13,0,0,0,0
13,0,0,0,1
13,0,0,0,1
22,8,0,0,1
71,0,21,0,0
8,0,108,0,0
8,0,118,0,1
7,0,10,1,1
4,0,118,0,1
18,16,120,0,0
1,0,118,0,1
11,2,118,0,1
11,3,108,0,0
11,3,0,0,1
11,2,10,0,0
11,3,118,1,1
11,8,118,1,1
20,4,112,0,0
8,0,21,0,0
8,0,21,0,0
0,0,0,0,1
4,0,10,0,0
4,0,120,0,0
4,0,120,0,0
4,0,108,0,0
4,0,108,0,0
3,0,120,0,0
1,0,4,0,1
6,0,4,0,1
7,0,4,0,1
16,16,0,0,1
2,0,108,0,0
0,0,0,0,1
12,0,0,0,0
1,0,120,0,0
204,0,4,0,0
3,0,0,0,0
19,12,123,0,0
11,5,21,0,1
11,5,108,3,1
11,5,0,0,1
11,3,10,0,1
11,8,10,0,1
11,8,108,9,1
11,8,120,0,1
25,24,0,0,0
25,8,0,0,0
25,16,118,0,0
25,24,118,20,1
0,0,0,0,1
10,0,10,0,1
10,0,108,0,1
8,0,10,0,0
5,0,4,0,1
7,0,10,0,0
7,0,10,0,0
7,0,108,0,1
4,3,10,0,1
53,8,108,0,1
