id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
10597,9,0,1,0,0,40,0
18128,3,0,1,0,0,250,1
12864,3,0,1,0,0,60,0
12618,18,0,1,0,0,120,0
14533,11,0,1,0,0,39,0
15028,11,3,1,0,0,1245,1
19356,3,0,1,0,0,130,0
22353,0,0,1,0,1,280,1
8928,0,0,1,0,0,60,0
8977,10,0,0,0,0,29,0
13305,3,0,1,0,0,45,0
19797,3,0,1,0,0,344,1
11158,0,0,0,0,0,420,1
14075,8,0,1,0,0,70,0
14241,21,16,0,0,0,610,1
15237,11,2,1,0,0,15,0
18652,10,0,1,0,1,152,0
19648,11,0,0,0,0,276,1
23727,2,0,1,0,0,15,1
12011,14,2,1,0,0,15,0
14716,11,0,1,0,1,80,0
21712,11,3,1,0,0,218,0
21878,3,0,1,0,0,10,0
9120,1,8,1,0,0,600,1
7826,77,3,1,0,0,238,0
11739,0,0,1,0,0,180,1
15675,29,16,0,0,0,421,1
16007,29,8,1,0,2,370,1
17003,11,0,0,0,0,240,1
19210,0,8,0,0,0,215,1
12781,11,8,1,0,0,480,1
13445,21,8,1,0,2,270,0
15366,4,0,1,0,0,30,0
15698,0,0,1,0,1,10,1
17026,4,0,1,0,0,240,1
17195,11,5,1,0,0,293,1
18191,2,2,1,0,0,55,1
18523,1,0,1,0,0,30,1
16176,28,16,0,0,0,778,1
22127,11,5,1,0,0,324,0
10242,4,0,1,0,0,70,0
16485,10,0,1,0,1,370,0
17404,3,0,1,0,0,93,1
21649,9,0,1,2,0,1516,1
14470,11,5,1,5,0,480,1
21749,10,0,1,0,0,11,0
8204,1,0,1,0,0,90,0
9532,11,8,1,0,0,360,1
12950,10,5,1,0,0,325,1
14278,11,8,1,3,0,515,1
8227,11,16,1,0,0,561,0
10219,9,0,1,0,0,60,0
13760,11,3,1,0,0,60,0
14178,25,8,0,0,0,480,1
15506,11,8,1,0,0,480,1
14965,11,5,1,0,0,336,0
21457,0,0,0,0,0,631,1
8496,9,0,1,0,0,231,0
12658,14,2,1,0,0,45,0
13654,7,0,1,0,0,195,0
16986,7,6,1,0,0,200,0
17982,2,0,1,0,0,400,0
18231,1,0,1,0,1,50,0
21480,11,5,1,0,0,358,1
8722,39,3,1,0,0,64,1
9515,14,3,1,0,0,120,1
10511,15,8,0,0,0,693,0
11722,225,5,1,1,0,275,0
17673,11,0,0,0,0,730,0
17544,1,0,0,0,0,10,1
19001,0,16,0,0,0,495,1
21171,0,0,0,0,0,127,1
10952,7,0,1,0,0,505,1
11530,10,2,1,0,0,60,1
12031,10,0,1,0,0,30,1
12280,10,0,1,0,0,30,0
24182,1,0,1,0,0,450,1
15280,25,16,1,0,0,810,1
19937,3,0,1,2,0,40,1
23186,10,0,1,0,0,60,0
11971,25,16,0,0,0,435,1
16299,2,0,1,0,0,15,0
21918,1,0,1,0,0,40,0
22250,4,0,1,0,0,75,0
8244,11,0,1,0,0,60,0
14487,13,5,1,0,0,170,0
14238,21,0,1,0,0,780,0
17487,11,5,1,0,0,137,1
19651,25,5,1,0,0,210,1
20730,11,5,1,0,0,330,1
10302,14,8,0,0,0,190,1
15466,11,0,1,0,0,10,0
14779,6,0,1,0,2,90,0
8682,4,0,1,0,0,111,0
9223,3,0,1,0,0,11,0
13551,10,0,1,0,0,240,0
13846,12,0,1,0,0,512,0
15174,2,0,1,0,0,90,1
18174,9,0,1,0,0,324,1
19502,0,16,0,0,0,1331,1
21666,8,5,1,0,0,360,1
11656,0,0,1,0,0,61,1
14739,7,0,1,0,0,30,0
16233,10,0,0,0,1,120,0
19316,11,16,0,0,0,558,1
22233,4,0,1,0,0,33,0
12509,0,0,1,0,0,22,1
13007,0,0,0,0,0,1100,1
12675,11,16,1,6,0,1390,1
14882,11,8,1,0,0,1056,1
20169,8,3,1,0,0,130,1
9784,11,5,1,0,0,180,0
12034,10,0,1,0,0,345,1
14859,15,24,1,17,0,2995,1
16780,25,16,0,0,0,398,1
20859,15,16,1,0,0,1831,1
21855,11,5,1,0,0,270,0
8098,15,4,1,0,0,60,0
10139,15,2,1,0,0,120,0
14049,12,5,1,0,0,370,0
17799,11,2,1,0,0,200,0
20381,3,0,1,0,0,45,0
16070,11,5,1,0,0,280,0
15904,25,5,1,0,0,308,0
17819,11,3,1,0,1,360,0
9804,10,16,1,0,0,780,0
12134,11,16,1,0,0,1800,1
13763,25,16,0,0,0,160,1
20624,9,0,1,0,0,345,1
11868,7,0,1,0,0,60,0
15778,10,0,1,0,1,60,0
17942,11,5,1,0,0,75,1
19857,1,0,1,0,0,55,0
20524,11,8,1,0,0,225,0
11842,11,16,1,0,0,330,1
15137,24,0,0,0,0,150,1
16588,8,0,1,0,0,80,0
17301,9,5,1,0,0,970,1
10239,4,0,1,0,0,8,0
12160,11,5,1,3,0,510,1
13073,9,0,1,0,0,150,0
13322,2,0,1,5,0,670,1
14318,13,0,1,0,0,145,1
16239,4,0,1,0,0,73,0
16488,10,0,1,0,0,5,0
12552,9,2,1,0,0,80,1
20710,4,0,1,0,0,108,1
21835,11,5,1,0,0,300,1
14175,25,0,1,0,0,586,0
17009,11,2,1,0,1,10,0
18503,2,5,1,0,0,224,1
2210,0,0,1,0,0,7650,0
8616,11,0,1,0,0,150,0
11699,0,0,1,0,0,36,1
12695,9,2,1,0,0,60,0
19522,11,16,1,0,0,1025,1
11307,2,0,1,0,0,60,0
15008,-3,2,1,0,0,30,1
16631,7,0,1,0,1,45,0
21586,0,0,0,0,0,302,1
22582,15,5,1,0,0,300,0
17066,7,0,0,0,0,16,0
8310,1,0,1,0,0,90,0
12638,16,3,1,0,0,60,0
21251,1,0,1,0,0,416,0
23458,10,2,1,0,0,63,1
14759,4,0,1,0,0,20,0
14802,2,0,1,0,0,70,0
16966,12,0,0,0,2,329,0
19130,11,5,1,0,0,75,0
8118,11,16,0,0,0,655,0
8951,11,0,0,0,0,255,0
10282,1,0,1,0,0,85,1
17607,0,0,0,0,0,247,1
18446,4,5,1,0,0,242,1
12346,11,2,1,0,0,30,1
14510,12,0,1,0,0,328,0
16674,11,0,1,0,1,141,0
17215,11,16,1,0,0,1005,1
21543,9,0,1,0,0,128,1
21002,11,5,1,0,0,158,0
23166,8,5,1,0,1,652,0
14490,0,0,1,0,0,100,1
14158,14,0,1,0,0,600,0
22648,11,16,1,0,0,2642,1
11550,23,3,1,0,0,230,1
17716,17,0,0,0,0,1207,0
19044,9,0,1,0,0,150,0
8207,1,0,1,0,0,250,0
10531,11,0,1,0,0,150,0
12452,8,5,1,0,0,300,0
20109,11,3,1,0,0,250,0
8184,59,0,1,0,0,124,1
8516,35,0,1,0,0,270,1
9512,14,3,1,0,0,124,1
13139,2,0,1,0,0,50,1
14467,11,5,1,2,0,420,1
14799,5,0,1,0,1,105,1
15463,11,0,1,0,0,5,0
20418,28,16,1,0,0,981,1
12366,11,8,1,10,0,540,1
16445,0,0,0,0,0,53,0
15449,25,16,0,0,0,285,1
20690,7,0,1,1,0,73,1
21523,0,0,0,0,0,40,1
21022,11,3,0,0,0,120,0
11135,11,8,1,0,0,390,1
11848,25,16,0,0,0,2345,1
12389,9,0,1,0,0,60,0
14381,7,0,1,0,2,905,0
16090,11,16,1,0,0,270,1
16754,15,0,1,0,0,15,0
17086,9,0,1,0,0,210,0
19459,0,16,0,0,0,285,1
21500,10,0,1,0,2,488,0
9163,9,0,1,0,0,135,0
14404,6,0,1,0,0,200,0
15406,2,0,1,0,0,200,0
16568,8,0,1,0,0,10,0
9263,11,3,1,0,0,180,0
18626,11,8,1,4,0,411,1
20790,3,0,0,0,0,43,1
23913,14,8,1,0,0,180,1
12532,11,5,1,0,0,180,1
14696,12,2,1,0,0,10,0
16611,0,0,1,0,1,95,1
18775,11,8,1,0,0,570,1
5227,0,0,1,0,0,150,0
8055,8,4,1,0,0,175,0
8473,11,16,1,0,0,1080,0
17252,2,0,1,0,0,10,0
21998,30,0,1,0,0,475,1
23252,9,0,1,0,0,240,1
9492,1,0,1,0,0,360,0
17899,0,16,0,0,0,329,1
18397,11,2,1,0,0,20,0
20069,0,16,0,0,0,380,1
22227,4,0,1,0,0,170,0
7726,36,12,1,0,0,679,1
12054,25,16,1,1,0,270,0
12681,10,2,1,0,0,90,0
18005,1,0,1,0,1,960,1
22333,1,0,1,0,0,210,1
15941,3,0,1,0,2,20,0
17613,13,0,0,0,0,1419,1
17862,10,16,1,0,0,633,1
9684,23,3,1,0,0,120,0
14012,9,8,1,0,0,610,1
14553,11,5,1,0,0,176,0
15549,9,0,1,0,0,60,0
19877,0,0,1,0,1,272,1
19336,11,2,1,0,0,110,0
12489,2,0,1,0,0,25,1
16817,11,8,1,0,0,280,1
19236,10,0,1,0,0,50,0
12097,25,8,0,0,0,1031,1
15300,10,0,1,0,1,20,0
16425,11,16,1,0,0,780,1
17464,0,0,1,0,0,19,1
14361,8,0,1,0,1,20,0
15692,1,0,1,0,0,731,1
17856,1,0,0,0,0,40,0
18689,8,0,1,0,0,50,0
11264,109,5,1,2,0,300,1
13428,9,5,1,0,0,135,1
13969,81,0,1,0,0,600,1
16133,10,0,1,0,0,516,1
15592,21,2,1,0,2,6,0
22084,0,0,0,0,0,2210,1
22625,11,16,1,0,0,1165,1
11573,0,0,1,0,0,131,1
11905,11,2,1,0,0,15,0
18071,0,8,0,0,0,290,1
20395,2,0,1,0,0,36,0
9890,17,2,1,0,0,120,1
10886,0,0,1,0,0,120,0
15509,11,0,1,0,0,5,0
18380,11,2,1,0,0,60,0
23003,3,0,1,0,1,208,0
8539,28,16,1,0,0,480,1
10199,10,0,1,0,0,961,0
12784,11,5,1,4,0,180,1
22101,11,5,1,0,0,420,0
25519,1,0,1,5,2,370,1
9180,9,0,1,0,0,110,0
18758,11,5,1,0,0,335,1
21082,10,2,1,0,0,60,1
24500,1,0,1,6,0,490,1
20750,4,0,1,0,2,90,0
