id,name,color,active
69,control,#8b0000,1
70,teste,#ff4500,0
71,modelo,#d3d3d3,1
72,André,#696969,0
73,defe,#ed0a0a,0
74,Prioridade,#f20505,1
75,stand by,#00ffc2,1
76,neurotech,#c40a15,1
77,Critério de Aceitação,#008000,1
78,Planejado,#8ced11,1
79,Não Planejado,#00b2ff,1
80,customização,#ffb800,1
81,estagio,#ffff00,1
82,dev,#ffc0cb,1
83,jr,#ff1493,1
84,dispensado,#663399,1
85,pl,#000080,1
86,front,#72dae8,1
87,UI,#09c2eb,1
88,Processos,#ff9900,1
89,Configurações,#d3d3d3,1
90,tsak,#696969,0
91,planejamento,#0a13ed,1
92,Conteúdo,#059bf2,1
93,Sistema,#16d984,1
94,Relatórios,#f5d04c,1
95,vídeos,#008000,1
96,Conversã,#000000,0
97,conversão,#ff00ff,1
98,Módulo Produtos,#55bfbf,1
99,Ebook,#ffff00,1
100,Blog Post,#ffc0cb,1
101,Email,#ff1493,1
102,Automação de marketing,#663399,1
103,Hidrante,#c71b1b,1
104,Hidran,#8b4513,0
105,Usabilidade,#8b0000,1
106,tas,#ff4500,0
107,poc,#d3d3d3,1
108,automação,#696969,1
109,teste,#0a76ed,1
110,front-account,#059bf2,1
111,casos de teste,#16d984,1
112,multifilter,#f5d04c,1
113,trace,#008000,1
114,regras aceitação,#000000,1
115,GAteway,#ff00ff,1
116,DD,#00ffff,1
117,Config,#ffff00,1
118,Reports,#ffc0cb,1
119,Test,#ff1493,1
120,Portal,#663399,1
121,Controle Interno,#000080,1
122,Envex,#1ca121,1
123,user story,#8b0000,1
124,acceptance criteria,#ff4500,1
125,planning poker,#d3d3d3,1
126,sprint,#696969,1
127,apr.02,#ed0a0a,1
128,Integrado,#cc00ff,1
129,Método,#16d984,1
130,Marte Inovação,#f5d04c,1
131,melho,#008000,0
132,shipping service,#000000,1
133,Topogeo,#4d9662,1
134,Agência Vênus,#8e1cab,1
135,Mobile,#e6e619,1
136,Resolvo e Cia,#f72d50,1
137,Atividade,#ff7dc3,1
138,Adaptação,#663399,1
139,Pesquisa,#000080,1
140,Análise,#8b4513,1
141,Networking,#8b0000,1
142,Marketing de Conteúdo,#ff4500,1
143,Customer Service,#d3d3d3,1
144,Sugestões,#696969,0
145,e-mail marketing,#450aed,1
146,Conhecimento,#059bf2,1
147,Novidade Cliente,#a9f7d5,1
148,template,#f5d04c,1
149,material,#008000,1
150,Fora do escopo do projeto,#000000,1
151,Importante,#ff00ff,1
152,Falha,#ff001f,1
153,Fast,#ffff00,1
154,Mirador Assessoria Atuarial,#ffc0cb,1
155,Chacon Engenharia,#ff0000,1
156,não planej,#663399,0
157,Portal dnata,#000080,1
158,app cliente dnata,#8b4513,1
159,app operacional dnata,#8b0000,0
160,app operacional dnata,#ff4500,1
161,verde,#109d1b,1
162,Amarelo,#f7eb00,1
163,Alteração,#ed0a0a,1
164,vermelho,#f20505,1
165,review,#16d984,1
166,Ambienger,#f5d04c,1
167,backend,#008000,1
168,Dnata,#5bfccc,1
169,medium,#ffa400,1
170,high,#ff0b00,1
171,defe,#ffff00,0
172,low,#eff955,1
173,api,#ff1493,0
174,"API ",#663399,1
175,mobile front,#000080,1
176,casg,#8b4513,0
177,dnatacare.0.5.0,#39c3f9,1
178,dnatacare.0.4.1,#69d5f4,1
179,dnatacare.0.4.0,#7ae4f9,1
180,mediu,#696969,1
181,dnatacare.0.6.0,#11b5d9,1
182,ops,#059bf2,0
183,release,#16d984,1
184,dnatacare.0.6.1,#f5d04c,1
185,dnatacare.0.6.2,#008000,1
