id,intervalo,estimativa,responsavel,totalsub,prioridade,minutos,atrasado
22410,264,8,1,0,0,8,1
22411,264,3,1,0,0,5,1
22413,264,3,1,0,2,2,1
22415,264,0,1,0,0,2,0
22425,240,0,1,0,1,6,0
22426,240,5,1,0,0,8,1
22429,576,5,1,0,0,7,1
22431,576,5,1,0,0,7,1
22432,240,16,1,0,0,25,1
22433,576,16,1,0,0,21,1
22443,168,0,0,0,0,5,0
22447,216,0,1,0,0,4,1
22448,216,0,1,0,2,2,0
22495,192,5,1,0,0,1,1
22496,192,0,1,0,1,6,1
22498,192,0,1,0,2,3,1
22502,528,5,1,2,0,4,1
22511,168,0,1,0,0,2,1
22517,168,0,1,0,0,8,1
22533,48,0,1,0,0,2,1
22537,336,0,0,0,0,17,0
22540,384,5,1,0,0,5,1
22541,384,8,1,6,0,8,1
22542,384,8,1,7,0,12,1
22550,48,0,1,0,2,6,1
22552,48,0,1,0,0,8,0
22560,312,0,0,0,0,10,0
22563,360,0,1,0,0,4,1
22568,24,0,1,0,0,3,1
22582,360,5,1,0,0,5,0
22609,264,8,1,0,0,8,1
22610,264,3,1,0,0,3,1
22611,264,3,1,0,0,4,1
22612,264,3,1,0,0,3,1
22613,264,8,1,0,0,8,1
22614,264,16,1,0,0,15,1
22615,264,8,1,0,0,8,1
22616,264,5,1,0,0,7,1
22617,264,3,1,0,0,5,1
22619,264,0,0,0,0,9,0
22620,264,0,0,0,0,16,0
22621,264,16,0,0,0,10,1
22622,264,0,0,0,0,30,1
22623,264,8,1,0,0,11,0
22624,264,16,1,0,0,6,1
22625,264,16,1,0,0,20,1
22628,264,5,1,1,0,5,1
22630,264,8,1,0,0,31,1
22636,264,5,1,0,0,8,1
22637,264,8,1,0,0,8,1
22647,264,3,1,0,0,3,1
22648,264,16,1,0,0,45,1
22653,264,5,1,0,0,8,1
22654,264,8,1,0,0,20,1
22655,264,16,1,0,0,17,1
22656,264,0,1,0,0,13,1
22667,240,0,1,0,1,16,0
22670,240,0,0,0,0,1,0
22671,240,0,1,0,0,3,0
22701,192,0,1,5,0,10,1
22719,504,5,1,0,0,5,1
22723,168,0,1,0,1,3,0
22755,96,0,1,0,0,3,1
22758,96,0,1,0,1,7,1
22762,96,16,1,0,0,20,1
22766,96,0,1,0,0,8,1
22775,72,0,1,0,0,1,1
22794,336,16,1,0,0,16,1
22795,336,5,1,0,0,5,1
22804,48,0,1,2,0,9,1
22806,384,5,1,0,0,2,0
22807,336,5,1,0,0,5,1
22808,336,5,1,0,0,5,1
22809,336,5,1,0,0,5,1
22814,336,3,1,0,0,3,1
22825,24,0,1,0,0,8,1
22856,264,5,1,0,0,7,1
22857,264,5,1,0,0,6,1
22858,264,16,1,3,0,16,1
22867,264,3,1,0,0,4,1
22870,264,3,1,0,0,4,1
22872,264,0,1,0,0,2,1
22878,264,5,1,0,1,2,0
22879,264,8,1,0,0,6,0
22881,264,16,1,0,0,13,1
22882,264,8,1,0,0,7,1
22883,264,5,1,0,0,11,1
22884,264,8,1,0,0,22,1
22885,264,3,1,0,0,4,1
22886,264,16,1,0,0,46,1
22887,264,8,1,0,0,13,1
22888,264,8,1,0,0,13,1
22889,264,8,1,0,0,8,1
22890,264,5,1,0,0,5,1
22891,264,8,1,0,0,16,1
22892,264,8,1,0,0,8,1
22893,264,8,1,3,0,7,1
22894,264,5,1,0,0,4,1
22895,264,8,1,3,0,9,1
22915,240,0,1,0,0,1,0
22927,216,0,1,0,0,7,1
22929,216,0,1,5,0,27,1
22935,192,0,1,0,0,6,1
22939,192,0,1,0,0,2,0
22940,192,0,1,0,0,3,0
22952,168,3,1,0,0,3,1
22969,96,0,1,0,0,5,1
22972,96,0,1,0,0,7,1
22995,72,0,1,0,2,2,0
23002,72,0,1,0,2,2,0
23003,72,0,1,0,1,4,0
23004,72,0,1,0,1,3,0
23005,72,0,1,0,0,10,1
23019,48,0,1,0,1,4,0
23022,336,16,1,0,0,20,0
23087,312,8,1,0,0,10,1
23090,24,0,1,0,1,2,1
23093,24,0,1,0,1,5,1
23137,264,0,0,0,0,19,1
23139,264,3,1,0,1,6,0
23141,264,2,1,0,0,2,0
23144,264,2,1,0,0,2,1
23145,264,5,1,0,0,5,1
23147,264,5,1,0,0,6,1
23148,264,8,1,0,0,4,0
23149,264,3,1,0,0,4,1
23150,264,8,1,0,0,8,1
23152,264,2,1,0,0,1,1
23153,264,8,1,0,0,7,1
23156,264,0,0,0,0,12,1
23158,264,5,1,0,0,5,0
23159,264,3,1,0,0,2,0
23160,264,3,1,0,0,3,1
23161,264,3,1,0,0,3,1
23164,264,3,1,0,0,2,1
23166,192,5,1,0,1,11,0
23167,264,3,1,0,0,1,1
23174,264,5,1,0,0,6,0
23185,240,0,1,0,0,2,0
23186,240,0,1,0,0,1,0
23187,240,0,1,0,1,2,0
23198,240,0,1,0,1,8,0
23216,240,0,1,0,0,22,1
23250,216,0,1,0,0,9,1
23252,216,0,1,0,0,4,1
23255,216,0,1,0,1,11,0
23275,88,0,1,0,0,14,1
23281,192,0,1,0,1,3,0
23305,168,0,1,0,2,3,0
23313,168,0,1,0,2,2,0
23314,168,0,1,0,2,4,0
23326,96,0,1,13,0,36,1
23330,96,0,1,0,0,31,1
23366,72,0,1,0,1,2,0
23419,264,0,1,0,0,17,1
23421,264,5,1,0,0,5,1
23422,264,8,1,0,0,8,1
23423,264,3,1,0,0,3,1
23424,264,2,1,0,0,2,1
23425,264,5,1,0,0,5,1
23426,264,5,1,0,0,5,1
23427,264,5,1,0,0,5,1
23428,264,2,1,0,0,1,1
23429,264,8,1,0,0,8,1
23430,264,3,1,2,0,3,1
23431,264,2,1,0,0,1,1
23432,264,2,1,0,0,2,1
23434,264,16,1,0,0,13,1
23449,240,16,1,0,0,19,1
23450,240,5,1,0,0,5,1
23458,240,2,1,0,0,2,1
23459,240,3,1,0,1,3,1
23460,240,5,1,0,0,4,1
23464,240,5,1,0,0,8,1
23468,240,8,1,0,0,14,1
23469,240,8,1,0,0,8,1
23470,240,8,1,0,0,16,0
23471,240,5,1,0,0,6,1
23472,240,2,1,0,0,1,1
23473,240,2,1,0,0,1,1
23492,336,2,1,0,0,2,1
23493,336,2,1,0,0,2,1
23494,336,3,1,0,0,2,1
23495,336,5,1,0,0,4,1
23496,336,8,1,0,0,3,1
23498,216,0,1,0,0,11,0
23505,168,0,1,0,0,3,1
23506,288,5,1,0,0,3,1
23508,168,0,1,0,0,6,1
23510,168,0,1,0,0,8,1
23530,96,0,1,0,2,3,1
23533,96,0,1,0,0,5,1
23539,72,0,1,4,0,11,1
23566,168,0,1,0,0,9,1
23574,336,3,1,0,0,7,1
23580,336,3,1,0,0,2,1
23581,336,5,1,0,0,7,1
23586,48,0,1,0,0,16,1
23587,336,5,1,0,0,3,1
23598,48,0,1,0,0,1,1
23632,48,0,1,0,0,1,1
23633,168,0,1,0,0,5,1
23694,24,0,1,0,0,4,1
23695,24,0,1,0,0,1,1
23696,24,0,1,0,0,4,1
23697,24,0,1,0,0,4,1
23723,264,5,1,0,0,6,1
23724,264,2,1,0,0,2,1
23725,264,5,1,0,0,4,0
23726,264,2,1,0,0,2,0
23727,48,0,1,0,0,1,1
23728,48,0,1,0,0,1,1
23729,48,0,1,0,0,1,1
23730,48,0,1,0,0,1,1
23732,48,0,1,0,0,4,1
23744,264,3,1,0,0,8,1
23745,264,3,1,0,0,8,1
23746,264,8,1,0,0,3,1
23748,264,5,1,0,0,4,0
23754,264,8,0,0,0,6,1
23756,264,5,1,0,0,13,1
23781,240,0,1,0,0,5,1
23784,24,0,1,0,0,2,1
23785,24,0,1,0,0,8,1
23786,240,0,1,0,2,13,0
23808,336,8,1,0,0,5,1
23812,192,0,1,0,0,2,0
23813,192,0,1,0,0,2,0
23822,336,5,1,0,0,4,1
23823,336,16,1,0,0,12,1
23824,336,2,1,0,0,1,1
23825,336,2,1,0,0,2,1
23826,336,2,1,0,0,2,1
23827,336,3,1,0,0,3,1
23828,336,3,0,0,0,1,1
23829,336,5,1,0,0,4,1
23830,336,3,1,0,0,1,1
23831,336,2,1,0,0,1,1
23832,336,5,1,0,0,8,1
23834,336,5,1,0,0,8,1
23835,336,5,0,0,0,5,1
23836,336,5,1,0,0,4,1
23840,168,0,1,0,1,6,1
23841,168,0,1,0,1,4,1
23842,168,0,1,0,2,5,1
23843,168,0,1,0,0,4,1
23845,168,0,1,0,0,6,1
23858,168,0,1,0,0,5,0
23859,168,0,1,3,0,10,0
23864,96,0,1,0,0,1,1
