id,intervalo,estimativa,responsavel,totalsub,urgente,alta,tempoGasto,classe,Melhoria/Funcionalidade,Defeito,Tarefa,Defeito do Cliente,Cash,Task,Planejado,Não Planejado,Mobile,Backend,high,frontend,Planejada,Não Planejada,Outros
8516,50400,0,8.666666666666666,0,0,0,270,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8525,4320,0,8.666666666666666,1,0,0,180,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
8541,40320,1440,7.333333333333333,0,0,0,3096,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8557,15840,120,6.0,0,0,0,120,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8558,15840,180,7.333333333333333,0,0,0,146,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8559,15840,300,7.333333333333333,0,0,0,248,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
8560,15840,960,6.0,0,0,0,1385,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8569,54720,300,8.666666666666666,0,0,0,390,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8593,1440,0,7.333333333333333,0,0,0,143,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8607,15840,120,6.0,0,0,0,70,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8608,5760,120,6.0,0,0,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8609,5760,120,6.0,0,0,0,30,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8611,15840,960,9.333333333333334,0,0,0,1516,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
8616,15840,0,6.0,0,0,0,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8617,15840,0,7.333333333333333,0,0,0,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8618,15840,0,9.333333333333334,0,0,0,150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8619,15840,120,7.333333333333333,0,0,0,120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8625,14400,120,7.333333333333333,0,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8627,14400,180,7.333333333333333,0,0,0,254,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8632,14400,120,9.333333333333334,0,0,0,120,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8633,14400,120,7.333333333333333,0,0,0,33,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8634,14400,180,6.0,0,0,0,312,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8636,14400,300,6.0,0,0,0,311,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8651,12960,120,7.333333333333333,0,0,0,60,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8658,11520,180,7.333333333333333,0,0,0,108,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8675,10080,0,9.333333333333334,0,0,0,145,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8677,10080,120,7.333333333333333,0,0,0,120,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8692,24480,480,8.666666666666666,0,0,0,480,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8693,44640,0,6.0,0,0,0,120,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8694,4320,0,7.333333333333333,0,0,0,554,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8716,15840,120,7.333333333333333,0,0,0,388,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8717,15840,180,7.333333333333333,0,0,0,180,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8718,15840,120,7.333333333333333,0,0,0,147,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8724,15840,180,6.0,0,0,0,498,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8733,15840,960,0,0,0,0,1411,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8751,11520,0,9.333333333333334,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
